0|1|2|3
541|5.41|-8.57768e-05|-0.0031832
542|5.42|-0.000117609|-0.00304934
543|5.43|-0.000148102|-0.00290711
544|5.44|-0.000177173|-0.00275731
545|5.45|-0.000204746|-0.00260074
546|5.46|-0.000230754|-0.00243821
547|5.47|-0.000255136|-0.00227051
548|5.48|-0.000277841|-0.00209846
549|5.49|-0.000298826|-0.00192284
550|5.5|-0.000318054|-0.00174446
551|5.51|-0.000335499|-0.0015641
552|5.52|-0.00035114|-0.00138251
553|5.53|-0.000364965|-0.00120045
554|5.54|-0.000376969|-0.00101866
555|5.55|-0.000387156|-0.000837834
556|5.56|-0.000395534|-0.00065867
557|5.57|-0.000402121|-0.000481826
558|5.58|-0.000406939|-0.000307938
559|5.59|-0.000410018|-0.000137611
560|5.6|-0.000411395|2.85809e-05
561|5.61|-0.000411109|0.000190095
562|5.62|-0.000409208|0.000346422
563|5.63|-0.000405744|0.000497088
564|5.64|-0.000400773|0.000641653
565|5.65|-0.000394356|0.000779713
566|5.66|-0.000386559|0.000910903
567|5.67|-0.00037745|0.00103489
568|5.68|-0.000367101|0.00115139
569|5.69|-0.000355587|0.00126015
570|5.7|-0.000342986|0.00136094
571|5.71|-0.000329376|0.00145359
572|5.72|-0.00031484|0.00153796
573|5.73|-0.000299461|0.00161393
574|5.74|-0.000283322|0.00168145
575|5.75|-0.000266507|0.00174048
576|5.76|-0.000249102|0.00179101
577|5.77|-0.000231192|0.00183309
578|5.78|-0.000212861|0.00186677
579|5.79|-0.000194194|0.00189216
580|5.8|-0.000175272|0.00190938
581|5.81|-0.000156178|0.00191859
582|5.82|-0.000136992|0.00191997
583|5.83|-0.000117793|0.00191374
584|5.84|-9.86552e-05|0.00190012
585|5.85|-7.9654e-05|0.00187937
586|5.86|-6.08603e-05|0.00185177
587|5.87|-4.23426e-05|0.00181763
588|5.88|-2.41663e-05|0.00177724
589|5.89|-6.39392e-06|0.00173095
590|5.9|1.09155e-05|0.00167909
591|5.91|2.77065e-05|0.00162203
592|5.92|4.39268e-05|0.00156014
593|5.93|5.95281e-05|0.00149378
594|5.94|7.4466e-05|0.00142335
595|5.95|8.86995e-05|0.00134924
596|5.96|0.000102192|0.00127183
597|5.97|0.00011491|0.00119153
598|5.98|0.000126826|0.00110874
599|5.99|0.000137913|0.00102384
600|6|0.000148151|0.000937225
601|6.01|0.000157524|0.000849293
602|6.02|0.000166016|0.000760424
603|6.03|0.000173621|0.000670994
604|6.04|0.000180331|0.000581372
605|6.05|0.000186144|0.000491916
606|6.06|0.000191063|0.000402975
607|6.07|0.000195093|0.000314886
608|6.08|0.000198242|0.000227974
609|6.09|0.000200522|0.000142549
610|6.1|0.000201947|5.89079e-05
611|6.11|0.000202536|-2.26684e-05
612|6.12|0.00020231|-0.000101914
613|6.13|0.000201291|-0.000178581
614|6.14|0.000199505|-0.000252437
615|6.15|0.00019698|-0.000323268
616|6.16|0.000193748|-0.000390877
617|6.17|0.000189839|-0.000455086
618|6.18|0.000185288|-0.000515734
619|6.19|0.000180131|-0.000572681
620|6.2|0.000174404|-0.000625802
621|6.21|0.000168146|-0.000674994
622|6.22|0.000161396|-0.00072017
623|6.23|0.000154194|-0.000761262
624|6.24|0.000146582|-0.000798219
625|6.25|0.000138599|-0.000831011
626|6.26|0.000130289|-0.000859621
627|6.27|0.000121693|-0.000884051
628|6.28|0.000112853|-0.00090432
629|6.29|0.000103809|-0.000920463
630|6.3|9.46048e-05|-0.000932528
631|6.31|8.52795e-05|-0.00094058
632|6.32|7.58737e-05|-0.000944698
633|6.33|6.64268e-05|-0.000944973
634|6.34|5.6977e-05|-0.00094151
635|6.35|4.75619e-05|-0.000934425
636|6.36|3.82177e-05|-0.000923846
637|6.37|2.89792e-05|-0.00090991
638|6.38|1.98801e-05|-0.000892765
639|6.39|1.09525e-05|-0.000872567
640|6.4|2.22679e-06|-0.000849478
641|6.41|-6.26799e-06|-0.00082367
642|6.42|-1.45047e-05|-0.000795319
643|6.43|-2.24579e-05|-0.000764607
644|6.44|-3.0104e-05|-0.00073172
645|6.45|-3.74212e-05|-0.000696848
646|6.46|-4.43896e-05|-0.000660183
647|6.47|-5.09915e-05|-0.000621918
648|6.48|-5.72106e-05|-0.000582249
649|6.49|-6.30331e-05|-0.000541372
650|6.5|-6.84468e-05|-0.000499479
651|6.51|-7.34416e-05|-0.000456766
652|6.52|-7.80093e-05|-0.000413423
653|6.53|-8.21435e-05|-0.000369638
654|6.54|-8.58399e-05|-0.000325596
655|6.55|-8.90959e-05|-0.000281479
656|6.56|-9.19107e-05|-0.000237463
657|6.57|-9.42853e-05|-0.000193718
658|6.58|-9.62225e-05|-0.000150409
659|6.59|-9.77266e-05|-0.000107697
660|6.6|-9.88035e-05|-6.57328e-05
661|6.61|-9.94609e-05|-2.46617e-05
662|6.62|-9.97075e-05|1.53787e-05
663|6.63|-9.95537e-05|5.42585e-05
664|6.64|-9.90111e-05|9.18561e-05
665|6.65|-9.80925e-05|0.000128058
666|6.66|-9.6812e-05|0.000162761
667|6.67|-9.51844e-05|0.000195867
668|6.68|-9.32257e-05|0.000227291
669|6.69|-9.09528e-05|0.000256955
670|6.7|-8.83832e-05|0.000284789
671|6.71|-8.55353e-05|0.000310734
672|6.72|-8.2428e-05|0.00033474
673|6.73|-7.90806e-05|0.000356765
674|6.74|-7.55129e-05|0.000376777
675|6.75|-7.17452e-05|0.000394752
676|6.76|-6.77976e-05|0.000410674
677|6.77|-6.36909e-05|0.000424538
678|6.78|-5.94455e-05|0.000436345
679|6.79|-5.50821e-05|0.000446105
680|6.8|-5.0621e-05|0.000453835
681|6.81|-4.60827e-05|0.000459562
682|6.82|-4.14871e-05|0.000463317
683|6.83|-3.68539e-05|0.00046514
684|6.84|-3.22025e-05|0.000465077
685|6.85|-2.75517e-05|0.000463179
686|6.86|-2.29199e-05|0.000459505
687|6.87|-1.83249e-05|0.000454117
688|6.88|-1.37837e-05|0.000447085
689|6.89|-9.31287e-06|0.000438481
690|6.9|-4.92806e-06|0.000428382
691|6.91|-6.44237e-07|0.00041687
692|6.92|3.52446e-06|0.000404028
693|6.93|7.56474e-06|0.000389944
694|6.94|1.14642e-05|0.000374707
695|6.95|1.52112e-05|0.000358409
696|6.96|1.87953e-05|0.000341144
697|6.97|2.22068e-05|0.000323007
698|6.98|2.54368e-05|0.000304092
699|6.99|2.84778e-05|0.000284497
700|7|3.13227e-05|0.000264317
701|7.01|3.39659e-05|0.000243647
702|7.02|3.64024e-05|0.000222583
703|7.03|3.86282e-05|0.00020122
704|7.04|4.06404e-05|0.000179648
705|7.05|4.24369e-05|0.00015796
706|7.06|4.40165e-05|0.000136245
707|7.07|4.53789e-05|0.000114587
708|7.08|4.65248e-05|9.30725e-05
709|7.09|4.74555e-05|7.17813e-05
710|7.1|4.81733e-05|5.07915e-05
711|7.11|4.86813e-05|3.01778e-05
712|7.12|4.8983e-05|1.00111e-05
713|7.13|4.90832e-05|-9.6411e-06
714|7.14|4.89867e-05|-2.87155e-05
715|7.15|4.86996e-05|-4.71525e-05
716|7.16|4.82281e-05|-6.4897e-05
717|7.17|4.75791e-05|-8.18979e-05
718|7.18|4.67601e-05|-9.81085e-05
719|7.19|4.5779e-05|-0.000113486
720|7.2|4.46442e-05|-0.000127994
721|7.21|4.33642e-05|-0.000141598
722|7.22|4.19482e-05|-0.000154269
723|7.23|4.04056e-05|-0.000165983
724|7.24|3.87457e-05|-0.00017672
725|7.25|3.69785e-05|-0.000186464
726|7.26|3.51139e-05|-0.000195205
727|7.27|3.31618e-05|-0.000202935
728|7.28|3.11325e-05|-0.000209651
729|7.29|2.9036e-05|-0.000215355
730|7.3|2.68824e-05|-0.000220053
731|7.31|2.46819e-05|-0.000223752
732|7.32|2.24444e-05|-0.000226467
733|7.33|2.01797e-05|-0.000228213
734|7.34|1.78976e-05|-0.00022901
735|7.35|1.56075e-05|-0.000228881
736|7.36|1.33187e-05|-0.000227852
737|7.37|1.10401e-05|-0.000225952
738|7.38|8.78063e-06|-0.000223212
739|7.39|6.54851e-06|-0.000219666
740|7.4|4.35185e-06|-0.00021535
